category	subCategory	name	scientificName	latinName	tradeMarkName	ingredientProductTypes	amount	potency	cost	suggestedOverage	gummyOverage	primary	secondary	tertiary	manufacturingCountry	originCountry	shelfLife	bulkDensity	tappedDensity	avergageParticleSize	lossOnDrying	arsenic	cadmium	lead	mercury	celery	custaceans	egg	fish	gluten	lupin	milk	molluscs	mustard	peanut	sesameSeeds	shellfish	soy	sulphites	treeNuts	wheat	vegan	non_gmo	kosher	gluten_Free	organic	moisture	calories	protein	carbohydrates	dietaryFiber	totalSugars	addedSugar	totalFat	saturatedFat	monounsaturatedFat	polyunsaturatedFat	transFat	cholesterol	sodium	vitaminA	vitaminC	vitaminD	vitaminE	vitamink	vitaminK2	thiamin	riboflavin	niacin	vitaminB6	folicAcid	vitaminB12	biotin	pantothenicAcid	choline	calcium	iron	phosphorus	iodine	magnesium	zinc	selenium	copper	manganese	chromium	molybdenum	chloride	potassium	boron
Herbs	Greens	Alfalfa Juice Powder	Medicago Sativa L.	Organic Alfalfa (Medicago sativa) (Aerial Parts) Juice Powder		C,T,P,G	1	0.85	10	1	1					China	36			80	5%	1.5	1	2	0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Herbs	Greens	Alfalfa Powder Steam Treated, India	Medicago Sativa L.	Organic Alfalfa (Medicago sativa) Powder		C,T,P,G	1	1	5	1	1					India	36			40	10	2	2	2	2		F	F	F			F			F		F	F		F	F	Y	Y																																														
Herbs	Joint Health	Sarsaparilla Extract 10:1	Hemidesmus indicus	Sarsaparilla Extract (root) 10:1		C,T,P	1	0.9	9	0.98						China	36			80	5	2	2	2	1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Excipients	Flow Agent	Silicon	Silicon Dioxide	Silicon Dioxide		C,T,P	1	1	4.3	1						USA	24					3	1	5	1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Digestive Health	Allspice Powder	Pimento Dioica	Allspice Powder		C,T,P,G	1	1	8.64	1	1					Mexico	24			40	10	5	5	5	5		F	F	F			F			F		F	F		F	F	Y	Y																																														
Herbs	Mood	5-HTP 99% HPLC (Griffonia Seed Extract)	Griffonia Simplicifolia	5-HTP (5-hydroxytryptophan) (Griffonia simplicifolia) (Seed)		C,T,P,G	1	0.99	132	0.98	0.95					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Antioxidant	Acai Organic Powder	Euterpe Oleracea sp.	Acai Berry Juice Powder (Euterpe Oleracea)		C,T,P,G	1	0.999	31.5	1	1					Brazil	24																																																																								
Herbs	Antioxidant	Acai Powder	Euterpe Oleracea sp.	Acai Berry Juice Powder (Euterpe Oleracea)		C,T,P,G	1	0.999	14	1	1					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Sweeteners	Artificial Sweeteners	Ace-K FCC (30-100 Mesh)	Acesulfame K	Acesulfame Potassium		C,T,P,G	1	1	15	1	1					China	24										F	F	F			F			F		F	F		F	F																																																
Amino Acid	Sports Nutrition	Acetyl L-Carnitine HCI	Acetyl L-Carnitine HCI	Acetyl L-Carnitine HCl (free-form)		C,T,P,G	1	0.99	22.5	1	1					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Omega's	Plant Based	Algal DHA Oil 20% Powder	dehexicosianoic acid	DHA (Docosahexaenoic acid from Algal Oil)		C,T,P,G	1	0.2	80	0.9	0.9					China	24									F	F	F	F	F	F	T	F	F	F	F		F	F																																																		
Sweeteners	Natural Sweeteners	Allulose Crystal (NON-GMO)	D-ribo-2-hexulose	Non-GMO Allulose		C,T,P,G	1	1	6	1	1					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Vitamins	Eye Health	beta carotene, BetaVit, powder, 10%	β,β-Carotene	Vitamin A (as Beta Carotene)		C,T,P,G	1	0.1	30	0.9	0.9																																																																														
Specialty	Diet	BHB Calcium salt	(R)-3-Hydroxybutyric Acid, Calcium Salt	Calcium Beta-hydroxybutyric		C,T,P,G	1	0.81	16	0.98	0.95					China	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Eye Health	Bilberry Fruit, dried	Vaccinium myrtillus	Bilberry (Vaccinium myrtillus) Dried Fruit		C,T,P,G	100	1	8	1	1																																				7.9	363	12	74				2.3	2.3	0	0		0	4.6	363	134														547	13												
Specialty	Energy	Caffeine, crystalline, natural	1,3,7-Thrimethylpurine-2, 6-dione	Natural Caffeine		C,T,P,G	1	0.98	17.5	1	1																																																																														
Vitamins	Energy	Calcium pantothenate (21% Ca)	D-Pantothenic Acid calcium salt	Calcium (as Calcium D-Pantothenate)		C,T,P,G	1	0.98	27	0.9	0.95																																																																														
Minerals	Vitality	Chromium Picolinate	Chromium Picolinate	Chromium (as Chromium Picolinate)		C,T,P,G	1	0.122	200	0.98	0.95																																																																														
Collagen	HSN (Hair, Skin, Nails)	Collagen Hydrolyzate	Collagen	Hydrolyzed Collagen		P	100	1	15	1																																					7	344	91	0	0	0	0	0	0	0	0	0	0	300	0	0	0													200	3											10	
Specialty	Sports Nutrition	DMAA	1,3-Dimethylamylamine	DMAE (Dimethylaminoethanol)		C,T,P,G	1	1	48	0.95	0.95																																																																														
Herbs	Immune Health	Echinacea Purpurea, dried, root	Echinacea purpurea	Echinacea Purpurea Root		C,T,P,G	100	1	11.57	1	1																																				4.5	355	8.7	77	48	20	0	1.3	1.3	0	0		0	9.6	17.3	72														287	6.7												
Vitamins	Women's Health	Folic acid	Folic Acid	Folic Acid		C,T,P,G	1	0.1	27.75	0.8	0.5																																																																														
Protein	Gelatin	Gelatin, hydrolyzed	Gelatin	Gelatin		P	100	1	12.5	1																																					7	344	91	0	0	0	0	0	0	0	0	0	0	300	0	0	0													200	3											10	
Herbs	Brain Health	Ginkgo Biloba, dried, leaves	Ginkgo biloba	Ginkgo Biloba Leaf Extract Powder		C,T,P,G	100	0.2	23.4	1	1																																				6.6	369	8	79	32	10	0	2.6	2.6	0	0		0	28	233	0														934	0												
Specialty	Sports Nutrition	HMB	HMB (Calcium Hydroxymethylbutyrate)	HMB (Calcium Hydroxymethylbutyrate)	MyHMB	C,T,P,G	1	0.84	24	0.95	0.95					China										F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Lipids	Energy	MCT Oil 70GA-C (Organic)	Medium chain triglycerides	Organic MCT (Medium-Chain Triglycerides)		P	100	0.7	14.5	0.98						United States	24									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F					100		600	0.3	31	31	0	0	60	60	0	0	0	0	3.1	0	0	0.19				0	0	0	0		0	0			330	0.6		0	69	0							79	
Excipients	Disintegrant	Microcrystalline Cellulose 101 USP	Microcrystalline Cellulose	Microcrystalline Cellulose		C,T,P	1	0.999	4.1	1						India	60									F	F	F	F	F	F	F	F	F	F	F		F	F	F	F																																																
Vegetables	Vegetable	Minced Onion Green Granules	Allium Fistulosum	Onion (Allium fistulosum) Green Granules		C,T,P,G	100	1	8.94	1	1					China	18									F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y			6	330	12	70	22	48	0	5.6	1	0.3	0.8	0	0	184	0	164	0	2.6			0.4	0.3	4	10.8	0	0	0			636	6.2			196	2.5							1946	
Protein	Plant Based	Pea protein low sodium	Pisum sativum	Pea protein (Pisum sativum)		P	100	0.8	5.6	0.95																																					5	390	80	4	4	0	0	6	1	2	3	0	0	100			0													400	10											1300	
Herbs	Joint Health	Skullcap, dried	Scutellaria lateriflora	Skullcap (Scutellaria lateriflora)		C,T,P,G	1	0.3	26	1	1																																																																														
Herbs	Immune Health	Slippery elm, dried, bark	Ulmus rubra	Slippery Elm (bark)		C,T,P,G	1	1	25	1	1																																				8.4																																										
Herbs	Sleep	Valerian, dried, root	Valeriana officinalis	Valerian Root (Valeriana officinalis)		C,T,P,G	1	0.25	14	1	1																																				6.3																																										
Vitamins	Energy	Vitamin B3 (Niacin) crystalline	Niacin	Niacin		C,T,P,G	1	0.98	6	0.94	0.75																																																																														
Vitamins	Energy	Vitamin B-6 (Pyridoxine Hydrochloride) 97%	Pyridoxine HCI	Vitamin B6 (as Pyridoxine Hydrochloride)		C,T,P,G	1	0.97	22	0.94	0.9																																																																														
Vitamins	Immune Health	Vitamin C (Ascorbic acid) 97SF	Ascorbic Acid	Vitamin C (as ascorbic acid)		C,T,P,G	1	0.97	6.5	0.94	0.5																																																																														
Vitamins	Immune Health	Vitamin C (Ascorbic acid) powder, fine 995	Ascorbic Acid	Vitamin C (as ascorbic acid)		C,T,P,G	1	0.99	6.5	0.94	0.5																																																																														
Vitamins	Immune Health	Vitamin C (Naascorbate) 99	Na Ascorbate	Vitamin C (as Sodium Ascorbate)		C,T,P,G	1	0.99	5.25	0.94	0.5																																																																														
Protein	Dairy	Whey protein concentrate, hydrolyzed	Whey Protein Concentrate	Whey Protein Concentrate		P	100	0.8	3.5	0.95																																					4	380	36	51	0	51		3.3						470							0.4	1.8	0.4							490	1											1730	
Protein	Dairy	Whey protein Isolate 90%	Whey Protein Isolate	Whey Protein Isolate		P	100	0.9	4.75	0.95																																					5	374	93	0	0	0	0	0.3	0.2			0.1	10	600		2	0.4													120	5											120	
Vitamins	Eye Health	Vitamin E (Mixed alpha Tocopherols)	Mixed/Alpha-tocopherols	Vitamin E (as mixed Alpha Tocopherols)	Tocomix 70R	C,T,P,G	1	0.26	111	0.9	0.9					Argentina and US	24					<=1.5	<=0.3	<=1	<0.2	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Specialty	Immune Health	PEA	Palmitoylethanolamide	PEA (Palmitoylethanolamide)		C,T,P,G	1	0.98	40	0.95	0.95					China	24	0.3		40	1	< 1	< 1	< 1	< 0.5	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Herbs	Bone Health	Parsley Leaf (Cut and Sift, Organic)	Petroselinum Crispum	Parsley Leaf (Petroselinum crispum)		C,T,P,G	1	1	6.95	1	1					Egypt	36			60		<= 1	<= 1	<= 5	<= 1	T		F	F	F	F	F		T	F	T	F	F	F	T	T	Y	Y	Y																																													
Minerals	Antioxidant	Selenium Trituration (Se 1%) on DCP	Selenium Trituration	Selenium (as Selenium Trituration)		C,T,P,G	1	0.01	25.63	0.98	0.95					United States	36			60	3	<= 1	<= 1	<= 1	<= 1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Minerals	Antioxidant	Selenium Yeast (Se 0.1%)	Selenium Yeast	Selenium (as Selenium Yeast)		C,T,P,G	1	0.001	16.75	0.98	0.95					United States	36			80	7	<= 1	<= 1	<= 1	<= 0.5	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y		Y																																													
Herbs	Sleep	Passion Flower Herb Powder	Passiflora Incaranta	Passion Flower Extract (Passiflora incaranta)		C,T,P,G	1	1	12.04	1	1					Italy	36			60	10	<= 1	<= 1	<= 5	<= 1	T		F	F	F	F	F		T	F	T	F	F	F	F	F	Y	Y	Y																																													
Herbs	Digestive Health	Peppermint Leaf Powder	Mentha Piperita	Peppermint Leaf		C,T,P,G	1	1	7.17	1	1					Egypt	36			60	12	<= 1	<= 1	<= 5	<= 1	T		F	F		F	F		T	F	T	F	F	F	T	T			Y																																													
Vitamins	Women's Health	Folate	6S-5-methyltetrahydrofolate glucosamine	Folate	Quatrefolic	C,T,P,G	1	0.5	15000	0.8	0.4					Dovlestown, PA	18					<= 1	<= 0.5	<= 1	<= 0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F																																																
Herbs	Antioxidant	Sea Buckthorn Extract 5:1	Hippophae rhamnoides	Sea Buckthorn Berry (Hippophae rhamnoides) (fruit)		C,T,P,G	1	1	10	0.98	0.95					China	36			80	5%	<= 1.5	<= 1	<= 2	<= 0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Enzymes	Digestive Health	Pepsin Powder (NLT 10,000)	Porcine Pancreas	Pepsin		C,T,P	1	1	230	0.9						India	36			80	5	<= 1.5	<= 0.5	<= 1.0	<= 1.5	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	N	Y																																														
Herbs	Anti-Inflammatory	Scutellaria Baicalensis Extract 30% Baicalin	Scutellaria baicalensis	Scutellaria Baicalensis Extract (30% Baicalin)		C,T,P,G	1	0.3	26	0.98	0.95					China	36			80	5	<= 2	<= 0.5	<= 2.0	<= 1.0	F	F	F	F	F		F		F	F	F	F	F	F	F	F			Y																																													
Herbs	Adaptogen	Schisandra Berry Whole	Schisandra chinensis	Schisandra Berry Extract (from Schisandra chinensis)		C,T,P,G	1	1	32.58	1	1					China	36			20	12	<= 3	<= 0.50	<= 3	<= 0.10	T		F	F		F	F		T	F	T	F	F	F	T	T			Y																																													
Minerals	Antioxidant	Selenium A.A. Chelate (Se 0.2%) KSH, HL	Selenium amino acid chelate	Selenium (as chelate)		C,T,P,G	1	0.02	25.38	0.98	0.95					United States	36			40	8	<= 3	<= 5	<= 3	<= 1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Minerals	Antioxidant	Selenium Citrate (Se 0.2%) KSH	Selenium citrate	Selenium (as Selenium Citrate)		C,T,P,G	1	0.02	24	0.98	0.95					United States	36				10	<= 3	<= 5	<= 10	<= 1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Vegetables	Heart Health	Phytosterols 95% Food Grade	Phytosterols	Phytosterols		C,T,P,G	1	0.95	22.6	0.98	0.95					China	24				2	<= 3	<= 1	<= 3	<= 0.1	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	Y	Y	Y																																													
Herbs	Joint Health	Sarsaparilla Root Powder	Hemidesmus indicus	Sarsaparilla Extract (root)		C,T,P,G	1	1	11.33	1	1					Mexico	24			120	10%	<= 5	<= 5	<= 5	<= 5		F	F	F			F			F	F	F	F		F	F	Y	Y																																														
Herbs	Joint Health	Sarsaparilla Root, C/S	Hemidesmus indicus	Sarsaparilla Extract (root)		C,T,P,G	1	1	10.15	1	1					India	24					<= 5	<= 5	<= 5	<= 5		F	F	F			F			F	F	F	F		F	F	Y	Y																																														
Herbs	Antioxidant	Sassafras Leaf Powder	Sassafras albidum	Sassafras (Sassafras albidum) dried leaf extract		C,T,P,G	1	1	19.18	1	1					United States	24			120	10	<= 5	<= 5	<= 5	<= 5		F	F	F			F			F	F	F	F		F	F	Y	Y																																														
Herbs	Men's Health	Saw Palmetto Berry Powder	Serenoa repens	Saw Palmetto Berry Extract (from Serenoa repens)		C,T,P,G	1	1	22.55	1	1					United States	24				10	<= 5	<= 5	<= 5	<= 5		F	F	F			F			F	F	F	F		F	F	Y	Y																																														
Herbs	Anti-Inflammatory	Pau D'Arco Bark Powder	Tabebuia Heptaplaylla	Pau D'Arco Bark (Tabebuia Heptaplaylla)		C,T,P,G	1	1	10	1	1					Brazil	24			40	10	<= 5	<= 5	<= 5	<= 5		F	F	F			F			F	F	F	F		F	F	Y	Y																																														
Amino Acid	Energy	L-Alanyl-L-Glutamine (ALGM)	L-Alanyl-L-Glutamine	L-Alanyl-L-Glutamine (ALGM)		C,T,P,G	1	0.987	136.5	0.98	0.95	Kyowa			China	China	36				≤0.5	<=0.0001	<=0.5	<=0.5	<=1.5	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y		Y																																												
Sweeteners	Natural Sweeteners	Stevia Extract Reb-A 97% (Organic)	Stevia Rebaudiana	Organic Stevia Extract (Stevia rebaudiana) (leaf)		T,P,G	1	0.97	73	1	1					China	36				6	<=0.0001	<=0.0001	<=0.0001	<=0.0001	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	Y	Y	Y																																													
Sweeteners	Natural Sweeteners	Stevia Extract Reb-A 98% (Organic)	Stevia Rebaudiana	Organic Stevia Extract (Stevia rebaudiana) (leaf)		T,P,G	1	0.98	75	1	1					China	36				6	<=0.0001	<=0.0001	<=0.0001	<=0.0001	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	Y	Y	Y																																													
Specialty	Prebiotic	Short-Chain Fructooligosaccharides	Fructooligosaccharides	Fructooligosaccharides (FOS)		C,T,P,G	1	0.95	4.95	0.98	0.95					India	24				5	<=0.03	<=0.01	<=0.02	<=0.01	F	F	F	F	F	F	F	F	F	F	F		F	F	F		Y	Y	Y																																													
Herbs	Vitality	Matcha Powder (Organic)	Camellia Sinensis	Matcha (Camellia sinensis) Powder, Organic		C,T,P,G	1	1	10.8	1	1					China	24			100	6	<=0.09	<=0.06	<=0.5	<=0.01	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Specialty	HSN (Hair, Skin, Nails)	Bovine Collagen Peptide Instant (Granules)	Bovine Collagen Peptide	Bovine Collagen Peptide		P	100	0.9	11	1						China	24				7	<=0.1	<=0.1	<=0.5	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	N	Y				3.3	382	91	2.4	0			0.2	0	0	0		0																														
Specialty	Brain Health	DHA 10% Food Grade	Docosahexaenoic acid	Docosahexaenoic Acid (DHA)		C	100	0.1	45.8	0.95						China	24			60	3	<=0.1		<=0.15		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y				513	0	67				28						226																													
Excipients	Filler	Tapioca Maltodextrin DE18 (Organic)	Tapioca Maltodextrin	Organic Tapioca Maltodextrin		P,G	100	1	1.62	1	1					Pakistan	24					<=0.1	<=0.05	<=0.05	<=0.01	F	F	F	F	F	F	F	F	F	F	F		F	F	F				Y				378	0.5	94	0	8	0	0.1	0			0	0	60			0.2													21	0.2											20	
Omega's	Brain Health	DHA OIL 40%	Schizochytrium	DHA Oil (40% DHA) DHA Omega-3 (Docosahexaenoic Acid)		C	1	0.4	35	0.9						China	24					<=0.1		<=0.1		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Omega's	Brain Health	DHA OIL 45%	Schizochytrium	DHA Oil (45% DHA) DHA Omega-3 (Docosahexaenoic Acid)		C	1	0.45	57	0.9						China	24					<=0.1		<=0.1		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Omega's	Brain Health	DHA OIL 50%	Schizochytrium	DHA Oil (50% DHA) DHA Omega-3 (Docosahexaenoic Acid)		C	1	0.5	70	0.9						China	24					<=0.1		<=0.1		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Excipients	Thickening Agent	High Oleic Sunflower Fat Powder (70%)	High Oleic Sunflower	High Oleic Sunflower (Helianthus) powder		P	1	0.7	8.54	0.98						India	12	0.4	0.5		3	<=0.1	<=1.5	<=0.1	<=1	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	N	Y																																														
Amino Acid	General Health	L-Tyrosine	L-Tyrosine	L-Tyrosine		C,T,P,G	1	0.985	13.5	0.98	0.95					China	24				0.3	<=0.1	<=0.1	<=1	<=0.1	F	F	F	F	F	F	F	F	F	F	F		F	F	F	F	Y	Y																																														
Specialty	Brain Health	3'-Sialyllactose Na Salt ( 3SL )	3'-Sialyllactose Na Salt	3SL HMO (Human Milk Oligosacchraide)		C,T,P,G	1	0.82	240	0.9	0.9	Kyowa			Thailand	Thailand	36					<=0.2	<=0.2	<=0.2	<=0.2					F		T										N	Y	Y	Y																																												
Specialty	Brain Health	6'-Sialyllactose Na Salt ( 6SL )	6'-Sialyllactose Na Salt	6SL HMO (Human Milk Oligosacchraides)		C,T,P,G	1	0.84	240	0.9	0.9	Kyowa			Thailand	Thailand	36					<=0.2	<=0.2	<=0.2	<=0.2	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	N	Y	Y	Y																																												
Fibers	Prebiotic	Inulin Fiber 90% (Artichoke Root)	Inulin	Artichoke Root (90% inulin)		P	100	0.9	25	0.95						China	36					<=0.2	<=0.1	<=0.2	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y				110	0	95	90			0					0	50																													
Probiotic	Immune Health	Lactococcus lactis strain Plasma Immuse™ (2.8B CFU/mg)	Lactococcus lactis	IMMUSE™ LC- Plasma	IMMUSE™ (LC-Plasma)	C,T,P	1	1	1650	0.85	0.5	Kyowa			Japan	Japan	36				≤7	<=0.2		<=0.4		F	F	F	F	F		F			F	F	F	F		F	F	Y	Y		Y		5.7																																										
Specialty	Prebiotic	Fructooligosaccharides 90% Powder	Fructooligosaccharides	Fructooligosaccharides		T,P,G	1	0.9	9	0.98	0.98					China	24				5	<=0.3		<=0.5		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Specialty	Prebiotic	Fructooligosaccharides 95% Powder	Fructooligosaccharides	Fructooligosaccharides		T,P,G	100	0.95	5.1	0.98	0.98					China	24				5	<=0.3		<=0.5		F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y				192	0	4.8	90	0		0	0	0	0	0	0		0	0		0			0	0	0	0		0				0	0			0	0							0	
Herbs	Greens	Alfalfa Powder (Organic)	Medicago Sativa L.	Organic Alfalfa (Medicago sativa) Powder		C,T,P,G	100	1	19.17	1	1					United States	24			80	8	<=0.5	<=1	<=0.4	<=0.05		F	F	F	F		F		F	F	F	F	F	F	F		Y	Y	Y				340	31	51	38	7.8		1.2	0.8			0	0	289		223		1.7						5.1	90		46			1651	24			239	3.3							2692	
Herbs	Fiber	Barley Grass Powder (Organic)	Hordeum Vulgare	Organic Barley Grass Powder (Hordeum vulgare)		P	100	1	22.07	1						United States	24			80	8	<=0.5	<=1	<=0.4	<=0.05		F	F	F	F		F		F	F	F	F	F	F	F		Y	Y	Y				349	22.2	61	46	7		2	0.7			0	0	889		253		2.5						12.1	42		16.2			452	16			175	3.2							4034	
Herbs	Energy	Beet Root Juice Powder (Organic)	Beta Vulgaris L.	Organic Beet Juice Powder (Beta vulgaris)		C,T,P,G	1	1	292	1	1					China	36			40	5	<=0.5	<=0.5	<=0.5	<=0.01	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y																																														
Fruits	Eye Health	Blueberry Powder (Organic)	Vaccinium Spp.	Organic Blueberry Powder (Vaccinium Spp.)		C,T,P,G	1	1	11.9	1	1					China	24			40	5	<=0.5	<=0.5	<=0.5	<=0.01	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Vegetables	Heart Health	Chard Fine Milled (Organic)	Beta vulgaris subsp. vulgaris	Chard (Beta vulgaris subsp. vulgaris)		C,T,P,G	1	1	23.8	1	1					United States	24			80	10	<=0.5	<=1	<=0.4	<=0.05		F	F	F	F		F		F	F	F	F	F	F	F		Y	Y	Y																																													
Specialty	Heart Health	Chlorella Powder (Organic)	Chlorella Vulgaris	Organic Chlorella Powder (Chlorella vulgaris)		C,T,P,G	1	1	20	1	1					China	36				7	<=0.5	<=0.2	<=0.5	<=0.1	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y																																													
Specialty	Diet	Coconut Water Powder (Organic)	Cocos Nucifera L.	Organic Coconut Water Powder (Cocos nucifera) (Fruit)		C,T,P,G	100	1	10	1	1					China	24			80	7	<=0.5	<=0.5	<=0.5	<=0.01	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	Y	Y	Y				360	0	75	0	24		0						168																37				45								803	
Fruits	Women's Health	Cranberry Extract Powder 4:1 (Organic)	Vacinnium Oxycoccus	Organic Cranberry Extract 4:1 (Vaccinium Oxycoccus) (Fruit)		C,T,P,G	1	1	14.8	0.98	1					China	36			80	5	<=0.5	<=0.3	<=1	<=0.1		F	F	F	F		F	F		F	F	F	F	F	F	F	Y	Y	Y																																													
